emiten,date,buy_price,take_profit,cut_loss
NCKL,3/7/2025,715,760,670
PAMG,3/11/2025,56,58,54
PPRE,3/26/2025,66,71,61
WEGE,3/26/2025,67,72,62
PPRE,3/26/2025,66,71,61
WEGE,3/26/2025,67,72,62
ELSA,3/27/2025,422,440,404
BGTG,4/10/2025,78,83,73
HATM,4/14/2025,274,284,264
ANTM,4/14/2025,1840,1980,1700
TBLA,4/15/2025,640,685,595
ERAA,4/16/2025,420,450,390
TOWR,4/17/2025,535,565,505
ISAT,4/17/2025,1735,1845,1625
MIKA,4/17/2025,2420,2530,2310
BRIS,4/17/2025,2570,2720,2420
TOWR,4/17/2025,535,565,505
MDKA,4/17/2025,1645,1815,1475
ISAT,4/17/2025,1735,1845,1625
MIKA,4/17/2025,2440,2550,2330
BRIS,4/17/2025,2570,2720,2420
ASRI,4/21/2025,118,124,112
AGRO,4/21/2025,194,203,185
ABMM,4/21/2025,3230,3340,3120
OASA,4/22/2025,134,146,122
HRUM,4/22/2025,855,920,790
ARTO,4/22/2025,1740,1830,1650
INCO,4/22/2025,2560,2720,2400
BREN,4/22/2025,5925,6425,5425
BEKS,4/23/2025,27,29,50
BBKP,4/23/2025,52,53,51
DGNS,4/23/2025,190,212,168
JTPE,4/23/2025,228,236,220
FORU,4/23/2025,1060,1225,895
BMRI,4/23/2025,4880,5060,4700
TNCA,4/24/2025,169,183,155
GJTL,4/25/2025,1050,1085,1015
PTRO,4/28/2025,2860,3100,2620
SGER,4/29/2025,356,380,332
WOOD,4/30/2025,332,346,318
HEAL,4/30/2025,1120,1160,1080
HEAL,4/30/2025,1130,1170,1090
SILO,4/30/2025,2600,2750,2450
